pname,pid,formatted_address,longitude,latitude,lnglat
拿铁酒吧,100101B2094757D06EAAFE4992,北京市朝阳区拿铁酒吧,116.445970,39.932370,"116.445970,39.932370"
北京香格里拉饭店,100101B2094654D168ABF4419C,北京市海淀区香格里拉饭店,116.308065,39.944343,"116.308065,39.944343"
外婆家(北京王府井店),100101B2094757D06FA1F94799,北京市东城区北京王府井店,116.409432,39.913931,"116.409432,39.913931"
雁栖湖,100101B2094654D365A2F44292,北京市怀柔区雁栖湖,116.683445,40.402314,"116.683445,40.402314"
音乐之声KTV,100101B2094757D06EAAFC4993,北京市朝阳区音乐之声ktv,116.443054,39.918268,"116.443054,39.918268"
北京万达国际电影城,100101B2094654D068ABFB419B,北京市朝阳区万达国际影城,116.470631,39.909270,"116.470631,39.909270"
北京千禧大酒店,100101B209465DD26FA7FE4893,北京市朝阳区千禧大酒店,116.459251,39.917118,"116.459251,39.917118"
北京展览馆,100101B2094654D26DA1F5499E,北京市西城区北京展览馆,116.344081,39.940512,"116.344081,39.940512"
故宫御花园,100101B2094757D06FA1FD469B,北京市东城区御花园,116.396820,39.921459,"116.396820,39.921459"
江湖,100101B2094757D06FA1FA429B,北京市东城区江湖,116.407857,39.935819,"116.407857,39.935819"
温莎KTV量贩(国贸店),100101B2094750D169AAF8489E,北京市海淀区温莎ktv,116.309056,39.935524,"116.309056,39.935524"
北京丽思卡尔顿酒店,100101B2094654D16CA2FA4298,北京市朝阳区丽思卡尔顿酒店,116.480770,39.910523,"116.480770,39.910523"
北京全聚德王府井店,100101B2094654D169A1FF4098,北京市东城区全聚德王府井店,116.411981,39.912043,"116.411981,39.912043"
莲花池公园,100101B2094654D264A7FE439E,北京市丰台区莲花池公园,116.314960,39.892173,"116.314960,39.892173"
前门全聚德起源店,100101B2094654D06BAAF8489A,北京市丰台区全聚德,116.380221,39.843853,"116.380221,39.843853"
什刹海风景区,100101B2094757D06FA4F8449D,北京市西城区什刹海风景区,116.389587,39.934428,"116.389587,39.934428"
老伍酒吧,100101B2094757D06FA4F84199,not found,not found,not found,not found
首都博物馆,100101B2094654D264ABFF439E,北京市西城区首都博物馆,116.342120,39.906481,"116.342120,39.906481"
金库KTV,100101B2094654D265A1FD4499,北京市西城区金库ktv,116.375253,39.911437,"116.375253,39.911437"
前门大栅栏,100101B209475CD26BABFD419E,北京市西城区大栅栏,116.395787,39.895467,"116.395787,39.895467"
中国大饭店,100101B2094654D36FA2FA409D,北京市朝阳区中国大饭店,116.459309,39.909826,"116.459309,39.909826"
北京拉斐特城堡酒店,100101B2094654D06FAAF5489D,北京市昌平区拉斐特城堡酒店,116.449189,40.132033,"116.449189,40.132033"
同一首歌KTV(西直门店),100101B2094654D069A6FC439A,北京市朝阳区同一首歌ktv,116.492618,39.915158,"116.492618,39.915158"
丽晶酒店,100101B2094654D068A3FC4298,北京市东城区丽晶酒店,116.418613,39.916280,"116.418613,39.916280"
慕田峪长城,100101B2094654D06EA5FB429F,北京市怀柔区慕田峪长城,116.564036,40.430860,"116.564036,40.430860"
长安街,100101B2094757D06EAAF5439E,北京市密云区长安街,116.844414,40.374346,"116.844414,40.374346"
北京王府井励骏酒店,100101B2094654D16EA5F9489D,北京市东城区励骏酒店,116.419114,39.915030,"116.419114,39.915030"
中国美术馆,100101B2094654D268ABF5489F,北京市东城区中国美术馆,116.409046,39.925039,"116.409046,39.925039"
北京国际饭店(星光汇旋转餐厅),100101B2094654D065A6FE429F,北京市东城区旋转餐厅,116.427879,39.909777,"116.427879,39.909777"
古北水镇,100101B209475CD465ABF9489E,北京市密云区古北水镇,117.276270,40.653689,"117.276270,40.653689"
UME华星影城华星店,100101B2094654D068A2F94798,北京市海淀区ume华星影城,116.326086,39.967807,"116.326086,39.967807"
希尔顿酒店随园宴会厅,100101B2094654D06AA5F9479C,北京市东城区希尔顿酒店,116.413159,39.914405,"116.413159,39.914405"
北京万达文华酒店,100101B2094654D06AA2FD489C,北京市,116.407526,39.904030,"116.407526,39.904030"
京仪大酒店|和园中餐厅(大钟寺店),100101B2094757D068ABFF4799,北京市海淀区京仪大酒店,116.337441,39.972227,"116.337441,39.972227"
伊贝莎主题时尚KTV,100101B2094757D16DA1FD4599,not found,not found,not found,not found
