pname,pid,formatted_address,longitude,latitude,lnglat
小酒馆（芳沁店）,100101B2094655DB6EABFD4592,四川省成都市武侯区小酒馆,104.056589,30.629489,"104.056589,30.629489"
星巴克 Starbucks(香榭里店/广场店),100101B2094757D16AABF9499F,四川省成都市成华区星巴克,104.115265,30.650046,"104.115265,30.650046"
UME国际影城成华店,100101B2094655DB69A5F9449C,四川省成都市成华区ume国际影城,104.109418,30.675095,"104.109418,30.675095"
星巴克(王府井店),100101B2094757D46EA0F44393,四川省成都市锦江区星巴克咖啡,104.076585,30.654185,"104.076585,30.654185"
犀浦夜市,100101B2094655DB69A6F5499F,四川省成都市郫都区犀浦夜市,103.964228,30.750538,"103.964228,30.750538"
鹤鸣茶楼,100101B2094757D46EA1F8439C,not found,not found,not found,not found
S. MUSE 苏格缪斯俱乐部少陵路店,100101B2094757D56DA7F5459F,not found,not found,not found,not found
锦城艺术宫,100101B2094757D06AA7FA419C,四川省成都市锦江区锦城艺术宫,104.068176,30.657645,"104.068176,30.657645"
红光夜市,100101B2094757D064A5FE449F,四川省成都市郫都区红光夜市,103.951203,30.783754,"103.951203,30.783754"
西岭雪山,100101B2094757DA69A7F9459A,not found,not found,not found,not found
温江城市公园,100101B2094757D06BA1FE4892,四川省成都市温江区城市公园,103.846030,30.696900,"103.846030,30.696900"
橙天嘉禾影城成都富力店,100101B2094655DB69A5F9459A,四川省成都市武侯区橙天嘉禾影城,104.062907,30.601323,"104.062907,30.601323"
玉林串串香·总店,100101B2094655DB69A2F9419F,四川省成都市都江堰市串串香总店,103.620333,30.988524,"103.620333,30.988524"
索菲特万达大饭店,100101B2094757D068A5FB4899,四川省成都市锦江区索菲特万达大饭店,104.068789,30.647298,"104.068789,30.647298"
西南交大图书馆,100101B2094757D069A6FE4299,四川省成都市郫都区西南交大图书馆,103.984750,30.766625,"103.984750,30.766625"
巴蜀大宅门火锅清江东路店,100101B2094757D06AA2FD479F,四川省成都市青羊区巴蜀大宅门火锅,104.036693,30.667925,"104.036693,30.667925"
